,comments,ratings
29,A good introduction to social Psych and possibly a good pre Uni course to undertake but could do with more user interaction in terms of work the students undertakes which may also increase the value of the course on completion in terms of being accepted to a Uni or college ,3.5
30,So far the information is easily understandable and piqued my interest ,3
31,Very informative Easy to understand Keeps the audience engaged ,5
32,Course seems to be fairly well organized and presented Looking forward to the remainder of the program ,4
33,Because I have learned a lot about myself through learning about what makes us all respond in similar ways under various circumstances Also Andy is very convincing in his delivery of the material which makes him for me a trustworthy score Great and applicable information thus far I would recommend this course to anyone wanting to have a clearer understanding about why we respond to certain situations the way we do We are all so similar after all ,5
34,Great spread of information across a lot of interesting topics in social psychology The instructor is clearly well-versed and engaging ,5
35,Really clear and concise lectures ,5
36,Well presented and easily understandable content Very relevant to the topic ,5
37,I've been looking to learn more about psychology for some time and this course is absolutely what I was looking for Well explained with lots of examples and humour and providing me with a good base platform from which to move on ,5
38,Very easy and straight forward explanations However when we have to write in the discussion forum I have struggle finding it ,5
39,Not exactly rocket science but it was a fun series Videos were well produced ,3.5
40,Very fine instructor very interesting topic ,5
41,A really knowledgeable course to get you insights of social psychology Its moderately detailed and well presented ,5
42,very knowledgeable ,5
43,informative fun well done really ,5
44,There are a few minor technical issues with some of the videos but overall they do not take away from the experience Also some of the example/test videos are exactly the same as the previous lesson so there isn't really any challenge in answering the questions Other than that a very enjoyable and informative course ,4.5
45,This course made me learn a lot about social psychology I Purchased this course because I wanted to know more about social psychology and it turned out to be a really exciting science Thank you Andy for your simple explanation of theories ! ,5
46,This is the second course I'm taking from dry Andrew Luttrell. Andrew is friendly and down to earth making the psychological information easy to grasp and implement in my daily life ,5
47,"I had an idea that this would be an interesting course I love knowing what makes me and others ""tick."" The course was beyond my expectations Very clear and interesting information I enjoyed his teaching style ",5
48,Loving the course so far I do love the videos I find them very helpful visually learning is much better for me ,5
49,Very informative and well presented Thoroughly enjoyed the course ,5
50,Very enjoyable have ordered some additional reading/books good lecturer and he enjoys the topic and is good at getting across Also it has helped me understand myself more which is always worthwhile ,5
51,Can't decide whether to take this course Do a benefit comparison 1. This instructor is qualified to teach at University level 2. His courses are very thorough and detailed 3. The instructor takes a personal interest in his students and answers all their individual questions even like the dumb one's that I ask 4. The instructor's goal is to make sure you learn the information he presents so that you can use it 5. You have lifetime access to the course five years from now you won't have to try to find the instructor to ask a question 6. Now add in the cost of a couple of text books the provides all you need and links and resources to more resources 7. now add the cost for enrolling in a college course 8. Now calculate the cost and investment of all your time spent on going to class preparing for class and the time spent in class when you could have stayed in your pajamas Bottom line comparison You figure it out :-) The instructor and his courses are so good i that I've enrolled and taken many of his courses I wouldn't be investing my time and money with him i if there was somewhere else more profitable to me to do that That's what I think ,5
52,Being new to the field of Social Psychology I have found Andrew's course very informative and he is a fantastic communicator and teacher Highly Recommended for a Introduction into Social Psychology :-) ,5
53,Loved the course lots of information presented in a fun and easy to understand way ,5
54,This course is a better one than others I've done on the subject the presenter is easily likeable ,5
55,It was a helpful ,5
56,Contains explanations in simple terms but the accent of one of the presenters was hard to understand at times ,4
57,Love this course ,5
58,Interesting course ,4
59,informative well presented and relatively complete ,5
60,Great information and examples The delivery method could be improved with higher quality videos and less powerpoint type animations Thank you ,4
61,very good ,4.5
62,Boring & unclear ,0.5
63,It is normal level for me to understand the lectures ,3
64,Comprehensive explanations with clear examples ,5
65,Psychology in action a well structured introductory course ,5
66,I am an aspiring psych and I have a degree of Bachelor of Communication Arts major in Journalism yeah too far I'm late bloomer thought Late in realizing what I want Even though I have a Psychology class back when I was in college this gives more details about psychology This allows me to crave more for psycho ,5
67,I think that this course provides a lot of interesting and useful information however on some of the longer videos it can get a little bland over all I recommend taking this course ,4
68,Excellent ! This online psychology course is easy to follow and the lectures presented general concepts of psychology in different ways with nice slides presentations and videos ,5
69,this is really a wonderful thing for dry Don je Sharpsteen to do for everyone It's very useful and good for extra review The video clips make it easier to remember the lessons Thank you so much Really needed this ,5
70,great introduction to psychology lots of useful information for parent ,5
71,I found this course interesting and informative.Well presented 10/10 ,5
72,Is too simply and presentation are unclear but fanny ,3
73,Everything is explained nicely and logically I feel that I learned a lot from this course The only reason I didn't give it five stars is because some of the videos need a little up dating--particularly a few towards the end where the slideshow featured vertical white pages The text was a little hard to read on some of the slides but I was able to keep up with the verbal presentation ,4
74,Es un excelent cursory ,5
75,Many of the slide were to small and the text could not be ready Slide colours and transitions were irritating and inconsistent but from about Section 6 onwards the slide style improved Audio volume levels tended to change from lecture to lecture and the special effect sounds were either to loud or irritating Content was good particularly attribution theory id ego superego conditioning and attachment theory and styles Size or time for each lecture was good and the pace was ok although the pace could go a little faster Good luck and thank you for the course I enjoyed it and learnt a lot about myself and others ,3
76,It pertains to the most instinctual behavioural pattern so layman can also understand the actual idea ,4
77,It was a good experience on the whole..The travel through different concepts of psychology was carried out in an organized and different manner ,4
78,dry Sharpsteen lecture series was simple to follow The use of slides definitions and movie application helped with understanding ,5
79,THE COURSE REALLY GIVES A GOOD KNOWLEDGE AS AN INTRODUCTORY COURSE TO PSYCHOLOGY ESPECIALLY FOR STUDENTS WHO WANT TO TAKE A MAJOR IN PSYCHOLOGY ,4
80,The professor explains complex concepts in a simple way Really learned a lot Again Excellent Program ,5
81,Very informative and easy to understand ,4
82,The course was very helpful to this old 77 year old man I did not take any Psychology classes in college and wanted to get a taste of what it was all about Will take a course at a major university online now Thanks a heap Pop Pop ,4
83,This course was extremely interesting It is full of valuable information interspersed with film clips and illustrative examples I learned a lot about psychology and myself Might watch again to see if I missed anything ,5
84,This course was very helpful for me Everyone should try it to understand psychology for their day to day life ,5
85,Seems great so far Exactly what i was looking for ,5
86,It is already interesting The instructor is passionate about the topic and very engaging ,5
87,informative ,4
88,I liked even if it was a bit bias ,5
89,The course gives a good and easy-to-follow summary and overview about essential concepts of international politics analysis It gave me interesting new insights especially on the individual level of politics however I sometimes felt like some topics could have used a bit more details to be more than just a keyword of analysis All in all I can absolutely recommend this course for international politics enthusiasts and beginning students Intermediate students can also gain a good summary and inspiration from this ,4
90,Because the professor is a very good instructor ,5
91,Interesting content not something I've ever heard about outside this course ,5
92,So far so good ,5
93,I really enjoyed this course I already had some knowledge prior to passing the course however it helped me a lot to organise everything in my mind ,5
94,In the 12 minutes I watched the introductory video the instructor captivated my interest and motivated me to stay tuned till the end of the course I am novice to the field and hope to get better understanding of the subject ,5
95,Very informative and yet easy to comprehend ,4.5
96,Course is well constructed and instructions are clear . ,5
97,excellent really changed my thought process in regard to international politics A pity this subject is constantly ignored in my country (Brasil). I will recomend this course to my friends and colleagues Thank you ,5
98,By far easy to follow and good structure ,5
99,I am finding it difficult to follow the lectures in that there are sooo many definitions many of which require a different understanding of the words in general usage ,4.5
100,Very clearly explained insightful and interesting ,5
101,Very well structured course it mention all the fundamentals you need to know after that its just practice and analysis ,5
102,"Great course , you have made me to develop some interest in politics with this course This course will help you to take a second look at every news headline and be able to distinguish the noise of media and the facts is reality Great job ",5
103,It looks like this will be an interesting course We live in an era where information indeed flows and we cannot compete with the amount of them to understand what is gong on around the world Having those invisible analytical tools will therefore be helpful in understanding the contemporary international politics ,5
104,The instructor is very knowledgeable ,5
105,shallow and Kindergarten level ,0.5
106,Great course ,5
107,He is a very knowledgeable and interesting teacher as he makes difficult concepts easier to understand.This course is really good for those who want to better understand the international political scene on a deeper level ,5
108,A course that explains in a logical and accessible the various phenomena to consider the foreign policy of nations With a review of the main currents of thought and international events that reflected in the development of international politics ,5
109,I liked thank you so much ,4.5
110,Amazing learning experience enables us deriving the insights on pure analytical basis ,5
111,Very useful clear content Provides sound explanation into basic IR theories and concepts Also breaks down analysis methods simply and effectively ,4
112,well presented and easy to follow ,5
113,"This course is a great introduction to the world of International Relations for students and all those interested The distinct contribution of dry Zwolski here relates to providing a clear and systematic map of the discipline which as many know can be very abstract and unnecessarily opaque at times Another important aspect in this course is the focus on the applicability of the insights for the student Many times International Relations scholars are accused of being self-indulgent, and doing theory for the sake of it This course takes a necessary step in addressing this deficit especially as International relations as a discipline finds itself in competition with many other frameworks for understanding and explaining the world This course is therefore recommended for all those who want to ask questions about the world of international relations in a rigorous manner informed by an adequate theoretical grounding and whom are eager to understand how to connect arguments to evidence Needless to say it feels that this task is becoming exceedingly urgent in the evidence and theory free world of Trump and brexit ",5
114,Good course that will provide a decent set of basic toolbox for your politics analysis needs Very well structured and clearly explained with good samples yes it did get my blood boiling on a few analytical conclusions which we'll have to agree to disagree about but this is exactly what good politics could should be doing I hope to revisit for updates on analytics on future subjects We live in a VERY interesting period of political changes and the tools will come handy I can definitely see myself repeating the course in a few months/year to ensure the concepts remain fresh thanks ,5
115,Good information on why I should choose this course Very clear explained IR theories ,5
116,The teacher is a well-versed expert on the topic I've only recently started the course but his thoughtful approach to the material and its delivery is very obvious I'm finding the course to be educational and very engaging I will update my review as I make more progress in the program ,5
117,learned a lot of usefull interesting inspiration stuff here ,5
118,Very informative and succinct Studies chosen were very interesting ,4.5
119,It is simply fascinating Apart from learning I have some fun stuff talk about on nights out Christmas parties etc ,5
120,This course is interesting ,5
121,As usual Andrew's course is excellent If you want to learn more about how and why we behave in different situations and some ideas on how to deal with them this is a highly recommended course The lectures are easy to follow and translate very interesting and complex concepts into simple words based on solid scientific studies The professor is very kind on recommending additional material and discussing questions This course and the Learn Social Psychology one both by andrew were the best courses I had on this subject They really complement each other ,5
122,Good content that is well delivered and real-world examples given ,5
123,Great insights videos very easy to understand and follow ,5
124,interesting I suppose the companies uses this kind of knowledge to sell things to us ,4.5
125,Really very good and powerful info thanks ,5
126,I really enjoyed the objective review of these studies ,4.5
127,Great information to apply in every day situation ,5
128,I am learning things and enjoying the course so far ,5
129,Exciting course I loved it because I am really interested in this course ,5
130,Andy's courses are great ,5
131,amazing insights into human nature ,5
132,because its great ,5
133,Excellent course ,5
134,A thoroughly enjoyable course to take Quality videos and andrew the instructor presents the information in a clear and easy to understand format I found the example studies fascinating and sometimes funny There were definitely more than a few who'd have thought that moments for me Worthwhile taking this course to learn more about how/why we and those around us think and act the way we do Highly recommended ,5
135,I loved this course ,5
136,Very good high level overview clear and to the point Will look at taking other courses by Andrew ,5
137,Instructor delivered the course in an interesting easy to understand and informative way I recommend this course to any student who is interested in learning about social psychology ,5
138,The concepts are explained well and Andy is incredibly engaging I found myself regurgitating lessons learned in this course in casual conversation with friends and colleagues I see myself picking up more courses from this great instructor Thanks again Andy ad ,5
139,I enjoyed this course alot everything from the structure of the videos into 5-9 minute clips to the key points at the start of every study Andrews delivery of the material was interesting and engaging ,5
140,I am a absolute bigger of psychology However I can understand the lectures without such a hard effort And the subjects are as chosen by familiarity around you I guess passively say yes to this course ,5
141,Interesting course very well presented ,5
142,"I learned more than anticipated including practical approaches to improve my own communication The instructor is as engaging as he is informative He displays a genuine passion for the course content I especially appreciate his enthusiasm for adding the ""bonus""content. ",5
143,"I'm at 1/3 of the course but Andrew has struck the perfect balance between being precise with his source studies and being engaging without being too pedant or tiring The studies are very interesting and help a lot to understand how we ""work"". ",5
144,This was a great introduction to social psychology There was a good selection of studies with references if you want to follow up Production was good clean easy to read slides supported an interesting voice which actually told you about the studies rather than just reading the slides ,5
145,Very well explained ,5
146,clear explanation about the concept of psychology ,5
147,the course is very rich of info Perfect course I learned so many things about Psychology can help me with my life ,5
148,very concise overview of psychology ,4
149,this An interesting topic about biological approaches getting more in depth of human behaviors forgetting remembering theories that we can work on and learn more this course has tort me so much about psychology i ,5
150,excellent information and lecture very well laid out and explained ,5
151,Great information The presenter does a good job Clear and knowledgeable ,5
152,Still too fast for e I take long hand notes Maybe a powerpoint of the screens would help Still too fast whips through slides I would like to examine further Otherwise good enjoying it Still want the Powerpoint of the slides Otherwise great refresher for cod hours ,4
153,A more than adequate course ,4.5
154,This course helped me understand more about psychology ,5
155,"Im shocked this course is called advanced it should be called first day psych 101 and syllabus review maybe chapter 1"". ",3
156,Excellent course with a lot of helpful information ,5
157,This course was a great experience and had a lot to learn from it The instructor was really good ,5
158,Enjoyed all her classes Presented well ,5
159,Interesting and easy to understand even if the person does not have any previous knowledge ,4.5
160,Excellent content but the teacher speaks very fast ,4
161,EXCELLENT WAY OF TEACHING ,5
162,Easy to understand lots of information ,5
163,interesting thorough and engaging ,5
164,clear voice and very intelligent lecture I am very impressed she engages the listeners will definitely take more courses with Elmira!!! ,5
165,I enjoyed the course ,4.5
166,Awesome course It includes pretty much everything I was interested in ,5
167,A good recap or a preview to people who will be attending unit Though Freud and Jung missing from the history of Psych and no id Ego and Super ego The course covers a fairly wide field but misses a few section that you will be expected to research at unit On a side note the lectures could do with a little tweeting as some of the ends of lectures are not in the correct order for the next lecture Overall this should help anyone inbetween college and Uni thought ,3.5
168,it is good ,5
169,I really like the pace of the course I like the additional resources as well ,4.5
170,have learned so much This is a very fulfilling course ,5
171,Information was clearly conveyed with great balance of detail to brevity to make the information digestible ,4
172,Very nicely explained ,5
173,Thoroughly enjoyed it I believe I've learnt just as much from this course than that of my Psychology study at university It was a great refresher course and so much more Very well done Thank you elvira ,5
174,It's not clear that I'm actually required to do any work or take any tests to demonstrate knowledge or anything The course has limited value as a credential if it's trivial easy to pass by flipping through the videos On the other hands the presenter seems to know her stuff and presents it in an engaging and concise format so thank you for that ,3
175,Amazing course Will seek other opportunities with this instructor ,5
176,Fun Little course ,4
177,So far so good I am liking it The pace is a little fast the content is intriguing and dense The lectures might benefit from a slower pace and more deliberate pauses during delivery to enable the learner to connect the more nuanced dots in the rich nuggets presented ,4
178,Good course on Advanced Psychology in general ,4
179,helpful and can be applied in all environments to all people whether colleagues family friends or other known people ,5
180,Like I said before this course was full of useful information which is practical and easy to follow I enjoyed all the interactive lectures ,4
181,Great course ,4.5
182,this course was great a lot of info and download well put together iam not finish i can always bo back and read over there always something small you can miss i have friend ask what collage level is it who may take the course ,5
183,Very thorough course for what I paid for it Thank you i ,5
184,Great course ,5
185,I thoroughly enjoyed this course I've always had an interest in psychology and now I can use it in my career too ,5
186,Great course Really enjoyed Many thanks ,5
187,This course gave me a good knowledge for my studies at university Interesting information but be prepared to learn theories as well i ,5
188,I've been interested in psychology since school This course gave me a chance to learn so much interesting information such as how we form memory and why we forget how kids learn to think etc A fascinating and quite comprehensive course I'd say Highly recommend i ,5
189,Im very intrigued by the functioning of the brain and Prof pen's first 2 sessions have helped clarify quite a few doubts looking forward to the rest of the course ,4
190,Anette started out great explaining how the brain works but I feel she rushed the practical side a little more examples could have been introduced ,3
191,"Could be cut down to 1/3, without any loss of relevant information But as it is free of charge still 3 stars ",3
192,Practical and engaging very enjoyable ,5
193,clear concise and well explained to understand ,5
194,Very informative and practicle!! ,5
195,Good content good speed perfect length ,3
196,Good course in order to understand neurotic in the beginning ,4
197,Really useful hands on info on how to control the over reaction of the Amygdala that is a major contributor to societal disharmony today - if every student in the world was presented with this course - there would be world peace - military and defense budgets would be slashed and the human conscious level would be raised Wow thanks so much anette I feel you took a giant leap for mankind towards World Peace and now its our turn to take small steps and pass this course around to our loved and dearest ,5
198,Very insightful at the same time actionable A must course for coaches to players in the performance domain ,5
199,loved it ! ,4.5
200,it's excellent ,5
201,A bit too New-Agey for me but it's done so well and the Teacher is so... everything good that I really liked it ,4
202,Great course ,5
203,Good course but needs to simplify new concepts or terminology especially for those that are unfamiliar with such ,4
204,Great course with practical & relevant examples for business and personal application I like that it starts of each concept with the science but moves quickly to the application making it very easy to understand or apply from my frame of reference i ,4.5
205,I enjoyed the personable approach Anette used Thank you for the engaging and thought-provoking information ,5
206,Like experience ,5
207,Excellent information that really can change one's life ,5
208,nice ,5
209,Very useful information Provided in a low key straightforward way Provides a good practical introduction to central ideas of the topic in ways that they can be placed into immediate action ,5
210,This course is so clearly explained and each lecture flows to the next I can build an understanding that is easy to relate to I am really enjoying these lectures ,5
211,"Very comprehensive/technical, but expected ",5
212,Me parece bueno y util Good and practice ideas ,4
213,A very though provoking course ,4.5
214,everything she does i have seen has been awesome and with much excellence ,5
215,Very interesting ,5
216,The tone of voice is difficult to listen & bit too fast ,4.5
217,excellent i discovered many new things ,5
218,Great course Great teacher Everybody should drink a sip from it Enroll this course and you'll understand this analogy i Thank you Anette preen ,5
219,Great course fantastic information and speaker ,5
220,Reframing is such a great tools Once I learned from this course how to use it I began seeing things in a different light or lights Viewing situations in many different ways allowing to get to solutions quicker within my job and with in my life at home Thank you ,5
221,I absolutely love the course so far and appreciate it a lot that she put it out there for free so everyone can check it out ,5
222,It's a little slow - long video for content that I think can be communicated in half the time That said the content IS REALLY great ,5
223,This course is brilliant The Danish Social scientists Anette preen gives this free taster course on Reframing also known as Cognitive reappraisal a way to adjust your focus and thinking that can benefit you in all areas of your life I highly recommend this course as she gives a wealth of information in neuroscience in an incredibly usable and digestible way ,5
224,Love the information on the reframing and benefit finding and the Robinson Caruso method I can use with clients myself and know someone personally I'm going to refer to this course ,5
225,Very interesting ,5
226,It was more than what I was expecting ,5
227,I have learned so much in this course I hope to apply my new knowledge in daily life ,5
228,It is well structure very insightful and easy to follow This type of knowledge/information is applicable to everyone and specialty me.... ,4.5
229,Looks promising so far ,4
230,Very interesting course ,5
231,Het geet veel insight in het menselijk brain en de working daarnaast geet het insight in jewels ,4.5
232,The course gave me a good fact/science based explanation of why reframing works - that the prefrontal cortex can inhibit amygdala ,4
233,I studied new things ,3
234,It's interesting ,4
235,I am obtaining more valuable information as the class develops THe more connections I draw the more interesting the class becomes ,5
236,I thought I was capable of asserting another person's views from a second person perspective But after the section on perceptual positions I really doubt my capability 5 perceptual positions seems sort of overwhelming but would be cool if some one could achieve command over such a tool or rather I would call it a 'superpower'. The course was pretty illuminating and presentation had a superior level of clarity Thanks Anette ,4.5
237,Great ,3.5
238,"There is not so much news for me yet because of my work and that I have read ""Brain-Smart children but it fully meets my expectations ",3.5
239,The course is fantastic ,5
240,Because I learn about my emotions and how to react in conclusion about signals to the danger of fear i also know how to reframe a solution to a prosperous conclusion ,5
241,Sehr informative und sehr gut in der Praxis umzusetzten. ,5
242,Kept my interest easy to follow ,3
243,Fascinating information about the amygdala Well done ,5
244,its interesting practical innovative ,5
245,CLEAR TUITION WITH DOWN TO EARTH EXPLANATIONS ,5
246,To little practical examples and techniques ,3
247,A compelling topic but I some concrete examples of reframing techniques presented with the cases would have been invaluable ,4
248,goed title en behapbare stukken.... ,4.5
249,Linked nap to neuro science ,5
250,I have only just begun this course and I can already tell you it is excellent ,5
251,Love the practical although simplistic ways to see the reframing made easier The volume at the highest made the narrative difficult You have a soothing very organized way of imparting your ideas Wish you well in your future endeavors and thanks ,4
252,Just incredible like honestly Anette makes it SO simple to understand AND she gives us great examples which anyone can relate to Really a blessing Thank you ,5
253,HAPPY......... ,5
254,The course is very well presented and is very educational ,5
255,Excellent ,5
256,Very interesting... ,5
257,I have found it very interesting ,4
258,It was a really good course ,4.5
259,Very good course Annette manages very well to make complex concepts understandable and applicable Thank you ! ,5
260,Because she was in depth and knowledgeable with her passion ,4.5
261,I truly enjoyed this course I worked in neurosurgery as a scribe in the past and truly learned the most in this field of medicine From the basic information or granular information when it comes to the anatomy of the brain such as the amygdala and how it is basically the reason as to why people are afraid of things that are beyond there control - to a more broad explanation of the limbic system as a whole It gives examples on how to appropriately handle these emotions and situations - this course is my favorite #outofsync #loseyourlink ,5
262,This was a really good course and gave me a completely different perspective on how the brain works found the lecturer to be very engaging abd easy to understand abs will purchase the follow up course highly recommend this course to anybody . ,5
263,Very interesting & thought provoking ,5
264,I learned so much from this course The way it is presented is very clear & practical So thankful I found Udemy. ,5
265,This course has a wonderful mix of understandable scientific information and life applications I am looking forward to the next lecture ,5
266,I liked the way of explanation on a such difficult topic The examples used in the lecture and the explanation towards each point has covered very nicely ,4.5
267,Easy to follow i ,5
268,good ,5
269,Excellent Idea ,5
270,Like it so far ,5
271,Easy to understand and to relate to what the course is about ,5
272,It has some easily digestible information that I find relevant to my work and to my view of reality and society as a whole I have a surface level of knowledge about the brain which is tremendously helpful but I can imagine that others might find this information a bit complex I think Anette does a marvelous job of being precise and I understand her language very well which all together makes this a nice course to follow And certainly useful ,4.5
273,I'm no expert in psychology so I can't comment on the finer points But I can say the explanations are straight forward and easily understood The material is practical and applicable in everyday life So far ( a few lectures in ) the course is excellent - and even more so since its free ,5
274,Enjoyed the detailed information presented in an understandable fashion ,3.5
275,Good information and presented well ,4
276,I like the material and the presenter so far ,4.5
277,Some really great thought-starters. It was like an alpha moment is many cases I hadn't thought of framing before it is very useful Thank you Anette ,5
278,ok ,5
279,Very interesting course and easy to follow Looking forward to watching more courses ,5
280,I loved following this course Easy to handle information great focus and explanations Your voice is pleasant to listen to ,4
281,A very knowledgeable teacher with very engaging presentation skills I found myself fascinated by the information she imparted and keen to learn more as the course went on Many thanks i ,5
282,I often use reframing at work to try to look at issues from different viewpoints Very good material Extremely clear presentation ,5
283,This course was well organized and contained good practical advice as well as straight forward explanations of the brain mechanisms involved ,5
284,Its a treasure ! Amazing concepts given in such a wonderful package Thank you . ,5
285,What great information I suffered a stroke in 2010 and now have a greater understanding about my behaviour and emotions and so does my wife:-) ,5
286,Very informative without being too technical or too fluffy ,5
287,I am passionate about the topic and I find this course very well structured also the content is clear and I like the way instructor presented the material ,5
288,Content not always clear Voice too high ,2.5
289,This was a very great insightful course I would recommend it to everyone Thank you anette ,5
290,Very good at insights on how to mold your thoughts ,5
291,Well organized outstanding insight professional expertise and ease of learning Excellent introductory course which introduces the student to the higher aspects of reframing thoughts and ideas to achieve solutions through higher discernment methods ,5
292,Anette is a very good teacher The subject is very practical and relevant to every obey and she explains it very good ,5
293,Very practical information Instructor teaches how to uncover patterns not just giving plain sentences Good choice for everyone ,5
294,I had been having problems understanding this that was going on in my life You have enlightened the very core of my understanding I really appreciate you and this course ,5
295,I've taken another class on reframing and I found this class did a better job ar explaining the concepts behind it ,4
296,I thought this course was superb I will ,5
297,Excellent knowledge shared in particular I liked the information about the amygdala hijack and how use of your frontal cortex can help reduce the stress The ties in well with the reframing idea ,5
298,transformation I never thought that this idea could be elaborated so well and with such efficiency I'm a huge fan of coaching psychology and now neuroscience It's applications is much easier than it's terminology because the presenter links it with doable actions I highly admire you and this course I'm waiting for the five core rules of the brain any day now ! Thank You ,5
299,This course is a well-organized practical course to learn about powerful ability of brain to change your perspective deliberately supported by neuroscience facts the explanations are very clear and the instructor is very engaging This course is for everyone who wishes to learn reframing or growing a flexible mindset to handle situations from a constructive & positive angles ,5
300,"Already by part 2 i started to recognize different behavior compared to some years ago edge 5 years ago i lost weight by looking into small steps in begin last months i did not reduce since i kept thinking about my main target Today i changed my mind and immediately i went outside for a walk of 1,5 hour ",5
301,excellent explanation of the the concepts ,5
302,I totally enjoyed the course I would have preferred less depth in the workings of the amygdala and as by now I have less focus on reframing ,4
303,Concise and easy to understand ,5
304,GOOD ,4.5
305,SO awesome You must take this class ,5
306,Very helpful Thank you ,5
307,Nice and interesting course however I found it hard to transfer the knowledge into real life application ,4.5
308,clear and to the point inspiring ,3.5
309,Excellent course content and instructor The delivery was very effective and has so much relevance to daily life I have applied reframing to real-life scenarios I have faced and it has helped me enormously ,5
310,well presented Could have been better if the presenter is also seen on the screen ,5
311,great for opening your mind to how you can change you have the power ,5
312,I gathered a lots of valuable information from this course ,4
313,in my opinion this course has a really high value and can improve your emotional intelligence ,5
314,Course very well directed and excellently presented I woke up the curiosity to continue deepening in this field so interesting thank you so much ,5
315,Well explained and very engaging ,5
316,It is amazing to be viewing an educational lecture on my phone anywhere anytime I choose ,5
317,Very pleasant instructor The course introduces the student to basics and must have's of reframing and effective thought process in human beings Informative and fun course ,5
318,relevant content clear communication link to real life and exercises all good so far i I continue enjoying the course and learning lots of interesting information and inspiring i ,5
319,While I plan to come back to write a detailed review the enemy rating system is terrible from a mobile phone I want to share now that this class has the potential to change your life if you allow it The information is fresh and delivered easily My intentions are to share it with anyone who will listen as i find it highly valuable Time well spent learning not only how to reframe but why to reframe excellent ,5
320,The course encouraged me to examine my behavior and the behavior of others and to practice the art of gaining other perspectives on life I will not look at events and people the same way again.... ,4
321,The course was very informative and teaches one to cope up with everyday living ,4
322,I would like this course.Thanks a lot ,5
323,Very clearly explained beautiful voice and goes in depth ,4
324,porque es clara y al punto ,5
325,It's great information but would like to know how to apply it with techniques and excercises ,3
326,very informative insightful & useful in every aspect of a person's life I've changed myself & influenced my relationships with this course I think maybe one or two more exercises in the beginning of the course might help along overall this course was fantastic ,5
327,It gives a very good insight to how our brain Works when it comes to danger learning ,5
328,She's boring as hell But she's probably much better when she's using her native tongue ,1
329,fascinating ,5
330,I love this course It is so well done easy to follow and to understand Great job ,5
331,It is an interesting course ,4
332,New information presented in an easy to understand way applicable and conducive of reflection and learning ,5
333,Myself and especially my 13 year old diagnosed with ADHD & ODD can benefit from reflecting on this information Eagerly moving forward thanks ,5
334,Very knowledgable instructor and great information ,5
335,I thoroughly enjoy how well prepared the course is and how clearly presented You are an excellent teacher ,5
336,She is a great speaker and is concise with the information ,5
337,So far the course seems great I've already learned things about the relationship between how I feel/think and what is physically causing that in my brain I like the idea that this course helps pull back the veil so to speak of how certain situations can make us feel and by exposing that help us hack our own behaviours for better results ,4.5
338,relevant stuff ,5
339,Really comprehensive easy to follow and digest ,4.5
